Home Team,Away Team,Winner,Home Win
Miami Marlins,Cincinnati Reds,Miami Marlins,True
Washington Nationals,Baltimore Orioles,Baltimore Orioles,False
Boston Red Sox,Seattle Mariners,Boston Red Sox,True
New York Mets,Philadelphia Phillies,New York Mets,True
Atlanta Braves,St. Louis Cardinals,Atlanta Braves,True
Kansas City Royals,Colorado Rockies,Kansas City Royals,True
Chicago Cubs,Los Angeles Dodgers,Los Angeles Dodgers,False
Minnesota Twins,Chicago White Sox,Minnesota Twins,True
Houston Astros,Toronto Blue Jays,Toronto Blue Jays,False
Los Angeles Angels,Pittsburgh Pirates,Los Angeles Angels,True
Arizona Diamondbacks,Tampa Bay Rays,Tampa Bay Rays,False
San Francisco Giants,Milwaukee Brewers,San Francisco Giants,True
Athletics,Texas Rangers,Texas Rangers,False
Atlanta Braves,St. Louis Cardinals,St. Louis Cardinals,False
Detroit Tigers,San Diego Padres,Detroit Tigers,True
New York Mets,Philadelphia Phillies,New York Mets,True
Miami Marlins,Cincinnati Reds,Miami Marlins,True
Cleveland Guardians,New York Yankees,New York Yankees,False
Washington Nationals,Baltimore Orioles,Baltimore Orioles,False
Boston Red Sox,Seattle Mariners,Boston Red Sox,True
Chicago Cubs,Los Angeles Dodgers,Los Angeles Dodgers,False
Houston Astros,Toronto Blue Jays,Toronto Blue Jays,False
Minnesota Twins,Chicago White Sox,Chicago White Sox,False
Los Angeles Angels,Pittsburgh Pirates,Pittsburgh Pirates,False
Arizona Diamondbacks,Tampa Bay Rays,Tampa Bay Rays,False
San Francisco Giants,Milwaukee Brewers,San Francisco Giants,True
Athletics,Texas Rangers,Athletics,True
Kansas City Royals,Colorado Rockies,Kansas City Royals,True
Minnesota Twins,Chicago White Sox,Minnesota Twins,True
Boston Red Sox,Seattle Mariners,Seattle Mariners,False
Kansas City Royals,Colorado Rockies,Kansas City Royals,True
Kansas City Royals,Colorado Rockies,Kansas City Royals,True
San Francisco Giants,Milwaukee Brewers,Milwaukee Brewers,False
Washington Nationals,Baltimore Orioles,Baltimore Orioles,False
Los Angeles Angels,Pittsburgh Pirates,Los Angeles Angels,True
Arizona Diamondbacks,Tampa Bay Rays,Arizona Diamondbacks,True
Athletics,Texas Rangers,Athletics,True
Chicago Cubs,Philadelphia Phillies,Chicago Cubs,True
Washington Nationals,New York Mets,Washington Nationals,True
New York Yankees,Toronto Blue Jays,Toronto Blue Jays,False
Kansas City Royals,Houston Astros,Kansas City Royals,True
Minnesota Twins,Los Angeles Angels,Minnesota Twins,True
St. Louis Cardinals,Milwaukee Brewers,Milwaukee Brewers,False
Colorado Rockies,Cincinnati Reds,Cincinnati Reds,False
San Diego Padres,Tampa Bay Rays,Tampa Bay Rays,False
Arizona Diamondbacks,Atlanta Braves,Arizona Diamondbacks,True
Seattle Mariners,Miami Marlins,Seattle Mariners,True
Athletics,Chicago White Sox,Athletics,True
Los Angeles Dodgers,Pittsburgh Pirates,Los Angeles Dodgers,True
San Francisco Giants,Texas Rangers,San Francisco Giants,True
Detroit Tigers,Baltimore Orioles,Baltimore Orioles,False
Cleveland Guardians,Boston Red Sox,Boston Red Sox,False
Cleveland Guardians,Boston Red Sox,Cleveland Guardians,True
Cleveland Guardians,Boston Red Sox,Boston Red Sox,False
Detroit Tigers,Baltimore Orioles,Detroit Tigers,True
Detroit Tigers,Baltimore Orioles,Detroit Tigers,True
Minnesota Twins,Los Angeles Angels,Los Angeles Angels,False
St. Louis Cardinals,Milwaukee Brewers,St. Louis Cardinals,True
Colorado Rockies,Cincinnati Reds,Cincinnati Reds,False
Washington Nationals,New York Mets,Washington Nationals,True
San Francisco Giants,Texas Rangers,Texas Rangers,False
Chicago Cubs,Philadelphia Phillies,Chicago Cubs,True
Athletics,Chicago White Sox,Athletics,True
Kansas City Royals,Houston Astros,Kansas City Royals,True
Arizona Diamondbacks,Atlanta Braves,Arizona Diamondbacks,True
San Diego Padres,Tampa Bay Rays,Tampa Bay Rays,False
Los Angeles Dodgers,Pittsburgh Pirates,Los Angeles Dodgers,True
Seattle Mariners,Miami Marlins,Seattle Mariners,True
New York Yankees,Toronto Blue Jays,New York Yankees,True
Washington Nationals,New York Mets,New York Mets,False
New York Yankees,Toronto Blue Jays,New York Yankees,True
New York Yankees,Toronto Blue Jays,New York Yankees,True
Cleveland Guardians,Boston Red Sox,Cleveland Guardians,True
Detroit Tigers,Baltimore Orioles,Detroit Tigers,True
Minnesota Twins,Los Angeles Angels,Los Angeles Angels,False
Kansas City Royals,Houston Astros,Houston Astros,False
St. Louis Cardinals,Milwaukee Brewers,St. Louis Cardinals,True
Colorado Rockies,Cincinnati Reds,Cincinnati Reds,False
San Francisco Giants,Texas Rangers,San Francisco Giants,True
Athletics,Chicago White Sox,Chicago White Sox,False
Los Angeles Dodgers,Pittsburgh Pirates,Pittsburgh Pirates,False
San Diego Padres,Tampa Bay Rays,San Diego Padres,True
Arizona Diamondbacks,Atlanta Braves,Arizona Diamondbacks,True
Seattle Mariners,Miami Marlins,Seattle Mariners,True
Chicago Cubs,Philadelphia Phillies,Philadelphia Phillies,False
Washington Nationals,New York Mets,Washington Nationals,True
Cleveland Guardians,Minnesota Twins,Cleveland Guardians,True
Baltimore Orioles,New York Yankees,Baltimore Orioles,True
Cincinnati Reds,St. Louis Cardinals,St. Louis Cardinals,False
Texas Rangers,Athletics,Texas Rangers,True
Houston Astros,Detroit Tigers,Detroit Tigers,False
Colorado Rockies,Atlanta Braves,Colorado Rockies,True
Los Angeles Dodgers,Miami Marlins,Miami Marlins,False
Cleveland Guardians,Minnesota Twins,Cleveland Guardians,True
Baltimore Orioles,New York Yankees,Baltimore Orioles,True
Pittsburgh Pirates,Chicago Cubs,Chicago Cubs,False
Philadelphia Phillies,Washington Nationals,Philadelphia Phillies,True
Tampa Bay Rays,Kansas City Royals,Kansas City Royals,False
Toronto Blue Jays,Boston Red Sox,Toronto Blue Jays,True
New York Mets,Arizona Diamondbacks,Arizona Diamondbacks,False
Chicago White Sox,Milwaukee Brewers,Chicago White Sox,True
Texas Rangers,Athletics,Athletics,False
Houston Astros,Detroit Tigers,Houston Astros,True
Colorado Rockies,Atlanta Braves,Colorado Rockies,True
Seattle Mariners,Los Angeles Angels,Los Angeles Angels,False
San Diego Padres,San Francisco Giants,San Diego Padres,True
Los Angeles Dodgers,Miami Marlins,Los Angeles Dodgers,True
Cincinnati Reds,St. Louis Cardinals,Cincinnati Reds,True
Cincinnati Reds,St. Louis Cardinals,Cincinnati Reds,True
Cincinnati Reds,St. Louis Cardinals,St. Louis Cardinals,False
Houston Astros,Detroit Tigers,Detroit Tigers,False
Colorado Rockies,Atlanta Braves,Atlanta Braves,False
Los Angeles Dodgers,Miami Marlins,Miami Marlins,False
Seattle Mariners,Los Angeles Angels,Seattle Mariners,True
San Diego Padres,San Francisco Giants,San Diego Padres,True
Cleveland Guardians,Minnesota Twins,Minnesota Twins,False
Baltimore Orioles,New York Yankees,Baltimore Orioles,True
Pittsburgh Pirates,Chicago Cubs,Chicago Cubs,False
Philadelphia Phillies,Washington Nationals,Philadelphia Phillies,True
Tampa Bay Rays,Kansas City Royals,Tampa Bay Rays,True
Toronto Blue Jays,Boston Red Sox,Toronto Blue Jays,True
New York Mets,Arizona Diamondbacks,New York Mets,True
Chicago White Sox,Milwaukee Brewers,Milwaukee Brewers,False
Texas Rangers,Athletics,Athletics,False
Pittsburgh Pirates,Chicago Cubs,Chicago Cubs,False
Cincinnati Reds,St. Louis Cardinals,St. Louis Cardinals,False
New York Mets,Arizona Diamondbacks,New York Mets,True
Tampa Bay Rays,Kansas City Royals,Tampa Bay Rays,True
Cleveland Guardians,Minnesota Twins,Minnesota Twins,False
Chicago White Sox,Milwaukee Brewers,Chicago White Sox,True
Texas Rangers,Athletics,Texas Rangers,True
Philadelphia Phillies,Washington Nationals,Washington Nationals,False
Toronto Blue Jays,Boston Red Sox,Boston Red Sox,False
Los Angeles Angels,Detroit Tigers,Detroit Tigers,False
San Francisco Giants,Colorado Rockies,Colorado Rockies,False
Cincinnati Reds,Washington Nationals,Cincinnati Reds,True
Pittsburgh Pirates,San Diego Padres,San Diego Padres,False
Philadelphia Phillies,Arizona Diamondbacks,Philadelphia Phillies,True
Baltimore Orioles,Kansas City Royals,Kansas City Royals,False
New York Yankees,Tampa Bay Rays,New York Yankees,True
