Team A,Team B,Winner
Baltimore Orioles,Milwaukee Brewers,Baltimore Orioles
Baltimore Orioles,Chicago White Sox,Baltimore Orioles
Baltimore Orioles,Chicago White Sox,Baltimore Orioles
Baltimore Orioles,St. Louis Cardinals,Baltimore Orioles
Baltimore Orioles,Milwaukee Brewers,Baltimore Orioles
Baltimore Orioles,Kansas City Royals,Baltimore Orioles
Baltimore Orioles,Los Angeles Angels,Baltimore Orioles
Baltimore Orioles,Athletics,Baltimore Orioles
Baltimore Orioles,Washington Nationals,Baltimore Orioles
Baltimore Orioles,Tampa Bay Rays,Baltimore Orioles
Baltimore Orioles,Cleveland Guardians,Cleveland Guardians
Baltimore Orioles,Pittsburgh Pirates,Pittsburgh Pirates
Baltimore Orioles,Cincinnati Reds,Cincinnati Reds
Baltimore Orioles,Atlanta Braves,Atlanta Braves
Baltimore Orioles,Chicago White Sox,Chicago White Sox
Baltimore Orioles,Milwaukee Brewers,Milwaukee Brewers
Baltimore Orioles,Athletics,Athletics
Baltimore Orioles,Kansas City Royals,Kansas City Royals
Baltimore Orioles,Minnesota Twins,Minnesota Twins
Baltimore Orioles,New York Mets,New York Mets
Baltimore Orioles,Toronto Blue Jays,Toronto Blue Jays
Baltimore Orioles,Toronto Blue Jays,Toronto Blue Jays
Baltimore Orioles,St. Louis Cardinals,St. Louis Cardinals
Baltimore Orioles,Tampa Bay Rays,Tampa Bay Rays
Baltimore Orioles,Arizona Diamondbacks,Arizona Diamondbacks
Baltimore Orioles,Chicago Cubs,Chicago Cubs
Baltimore Orioles,Cleveland Guardians,Cleveland Guardians
Baltimore Orioles,Atlanta Braves,Atlanta Braves
Baltimore Orioles,Colorado Rockies,Colorado Rockies
Baltimore Orioles,Atlanta Braves,Atlanta Braves
Baltimore Orioles,Tampa Bay Rays,Tampa Bay Rays
Baltimore Orioles,Philadelphia Phillies,Philadelphia Phillies
Baltimore Orioles,Minnesota Twins,Minnesota Twins
Baltimore Orioles,Seattle Mariners,Seattle Mariners
Baltimore Orioles,Philadelphia Phillies,Philadelphia Phillies
Baltimore Orioles,Cincinnati Reds,Cincinnati Reds
Baltimore Orioles,Chicago White Sox,Chicago White Sox
Baltimore Orioles,Chicago Cubs,Chicago Cubs
Baltimore Orioles,New York Mets,New York Mets
Baltimore Orioles,St. Louis Cardinals,St. Louis Cardinals
Baltimore Orioles,Los Angeles Angels,Los Angeles Angels
Baltimore Orioles,Boston Red Sox,Boston Red Sox
Detroit Tigers,San Francisco Giants,Detroit Tigers
Detroit Tigers,Seattle Mariners,Detroit Tigers
Detroit Tigers,Atlanta Braves,Detroit Tigers
Detroit Tigers,Arizona Diamondbacks,Detroit Tigers
Detroit Tigers,San Francisco Giants,Detroit Tigers
Detroit Tigers,Toronto Blue Jays,Detroit Tigers
Detroit Tigers,Los Angeles Angels,Detroit Tigers
Detroit Tigers,Miami Marlins,Detroit Tigers
Detroit Tigers,New York Mets,Detroit Tigers
Detroit Tigers,Los Angeles Dodgers,Detroit Tigers
Detroit Tigers,Colorado Rockies,Detroit Tigers
Detroit Tigers,Philadelphia Phillies,Detroit Tigers
Detroit Tigers,San Diego Padres,Detroit Tigers
Detroit Tigers,Baltimore Orioles,Detroit Tigers
Detroit Tigers,Boston Red Sox,Detroit Tigers
Detroit Tigers,Houston Astros,Detroit Tigers
Detroit Tigers,Pittsburgh Pirates,Detroit Tigers
Detroit Tigers,St. Louis Cardinals,Detroit Tigers
Detroit Tigers,Milwaukee Brewers,Detroit Tigers
Detroit Tigers,Atlanta Braves,Detroit Tigers
Detroit Tigers,Chicago White Sox,Detroit Tigers
Detroit Tigers,Minnesota Twins,Detroit Tigers
Detroit Tigers,Texas Rangers,Detroit Tigers
Detroit Tigers,Toronto Blue Jays,Detroit Tigers
Detroit Tigers,Washington Nationals,Detroit Tigers
Detroit Tigers,Arizona Diamondbacks,Detroit Tigers
Detroit Tigers,Philadelphia Phillies,Detroit Tigers
Detroit Tigers,San Francisco Giants,Detroit Tigers
Detroit Tigers,Baltimore Orioles,Detroit Tigers
Detroit Tigers,Athletics,Detroit Tigers
Detroit Tigers,New York Mets,Detroit Tigers
Detroit Tigers,Boston Red Sox,Detroit Tigers
Detroit Tigers,Milwaukee Brewers,Detroit Tigers
Detroit Tigers,Houston Astros,Houston Astros
Detroit Tigers,Colorado Rockies,Colorado Rockies
Detroit Tigers,Milwaukee Brewers,Milwaukee Brewers
Detroit Tigers,Kansas City Royals,Kansas City Royals
Detroit Tigers,Seattle Mariners,Seattle Mariners
Detroit Tigers,Boston Red Sox,Boston Red Sox
Detroit Tigers,Minnesota Twins,Minnesota Twins
Detroit Tigers,Pittsburgh Pirates,Pittsburgh Pirates
Detroit Tigers,Chicago White Sox,Chicago White Sox
Detroit Tigers,Philadelphia Phillies,Philadelphia Phillies
Detroit Tigers,Philadelphia Phillies,Philadelphia Phillies
Detroit Tigers,Cincinnati Reds,Cincinnati Reds
Detroit Tigers,San Francisco Giants,San Francisco Giants
Detroit Tigers,San Francisco Giants,San Francisco Giants
Detroit Tigers,Chicago White Sox,Chicago White Sox
Detroit Tigers,Washington Nationals,Washington Nationals
Detroit Tigers,Boston Red Sox,Boston Red Sox
Minnesota Twins,Houston Astros,Minnesota Twins
Minnesota Twins,Houston Astros,Minnesota Twins
Minnesota Twins,Washington Nationals,Minnesota Twins
Minnesota Twins,San Francisco Giants,Minnesota Twins
Minnesota Twins,Toronto Blue Jays,Minnesota Twins
Minnesota Twins,Milwaukee Brewers,Minnesota Twins
Minnesota Twins,Philadelphia Phillies,Minnesota Twins
Minnesota Twins,Cincinnati Reds,Minnesota Twins
Minnesota Twins,San Francisco Giants,Minnesota Twins
Minnesota Twins,Seattle Mariners,Minnesota Twins
Minnesota Twins,Atlanta Braves,Minnesota Twins
Minnesota Twins,St. Louis Cardinals,Minnesota Twins
Minnesota Twins,Cincinnati Reds,Minnesota Twins
Minnesota Twins,Detroit Tigers,Minnesota Twins
Minnesota Twins,Washington Nationals,Minnesota Twins
Minnesota Twins,Pittsburgh Pirates,Minnesota Twins
Minnesota Twins,Chicago Cubs,Minnesota Twins
Minnesota Twins,Detroit Tigers,Minnesota Twins
Minnesota Twins,Pittsburgh Pirates,Minnesota Twins
Minnesota Twins,Milwaukee Brewers,Minnesota Twins
Minnesota Twins,Washington Nationals,Minnesota Twins
Minnesota Twins,Arizona Diamondbacks,Minnesota Twins
Minnesota Twins,Los Angeles Dodgers,Minnesota Twins
Minnesota Twins,Cleveland Guardians,Minnesota Twins
Minnesota Twins,Los Angeles Dodgers,Minnesota Twins
Minnesota Twins,Colorado Rockies,Minnesota Twins
Minnesota Twins,Milwaukee Brewers,Minnesota Twins
Minnesota Twins,Los Angeles Angels,Los Angeles Angels
Minnesota Twins,New York Mets,New York Mets
Minnesota Twins,Washington Nationals,Washington Nationals
Minnesota Twins,San Francisco Giants,San Francisco Giants
Minnesota Twins,Cleveland Guardians,Cleveland Guardians
Minnesota Twins,Cleveland Guardians,Cleveland Guardians
Minnesota Twins,New York Mets,New York Mets
Minnesota Twins,Los Angeles Dodgers,Los Angeles Dodgers
Minnesota Twins,Los Angeles Angels,Los Angeles Angels
Minnesota Twins,San Francisco Giants,San Francisco Giants
Minnesota Twins,Colorado Rockies,Colorado Rockies
Minnesota Twins,Miami Marlins,Miami Marlins
Minnesota Twins,Los Angeles Angels,Los Angeles Angels
Minnesota Twins,Texas Rangers,Texas Rangers
Minnesota Twins,Cincinnati Reds,Cincinnati Reds
Minnesota Twins,Colorado Rockies,Colorado Rockies
Minnesota Twins,Cincinnati Reds,Cincinnati Reds
Minnesota Twins,San Diego Padres,San Diego Padres
Minnesota Twins,Chicago White Sox,Chicago White Sox
Minnesota Twins,Arizona Diamondbacks,Arizona Diamondbacks
Minnesota Twins,Tampa Bay Rays,Tampa Bay Rays
Minnesota Twins,Miami Marlins,Miami Marlins
Kansas City Royals,Seattle Mariners,Kansas City Royals
Kansas City Royals,Baltimore Orioles,Kansas City Royals
Kansas City Royals,Texas Rangers,Kansas City Royals
Kansas City Royals,Milwaukee Brewers,Kansas City Royals
Kansas City Royals,Seattle Mariners,Kansas City Royals
Kansas City Royals,Pittsburgh Pirates,Kansas City Royals
Kansas City Royals,Houston Astros,Kansas City Royals
Kansas City Royals,Detroit Tigers,Kansas City Royals
Kansas City Royals,Colorado Rockies,Kansas City Royals
Kansas City Royals,Los Angeles Angels,Kansas City Royals
Kansas City Royals,St. Louis Cardinals,Kansas City Royals
Kansas City Royals,Colorado Rockies,Kansas City Royals
Kansas City Royals,St. Louis Cardinals,Kansas City Royals
Kansas City Royals,Boston Red Sox,Kansas City Royals
Kansas City Royals,Atlanta Braves,Kansas City Royals
Kansas City Royals,Washington Nationals,Kansas City Royals
Kansas City Royals,Los Angeles Dodgers,Kansas City Royals
Kansas City Royals,New York Mets,Kansas City Royals
Kansas City Royals,Athletics,Kansas City Royals
Kansas City Royals,Pittsburgh Pirates,Kansas City Royals
Kansas City Royals,New York Mets,Kansas City Royals
Kansas City Royals,Tampa Bay Rays,Kansas City Royals
Kansas City Royals,Milwaukee Brewers,Kansas City Royals
Kansas City Royals,Milwaukee Brewers,Kansas City Royals
Kansas City Royals,Athletics,Kansas City Royals
Kansas City Royals,New York Mets,Kansas City Royals
Kansas City Royals,Arizona Diamondbacks,Kansas City Royals
Kansas City Royals,San Diego Padres,Kansas City Royals
Kansas City Royals,Los Angeles Dodgers,Los Angeles Dodgers
Kansas City Royals,Chicago White Sox,Chicago White Sox
Kansas City Royals,Boston Red Sox,Boston Red Sox
Kansas City Royals,Tampa Bay Rays,Tampa Bay Rays
Kansas City Royals,Los Angeles Angels,Los Angeles Angels
Kansas City Royals,San Diego Padres,San Diego Padres
Kansas City Royals,New York Yankees,New York Yankees
Kansas City Royals,Baltimore Orioles,Baltimore Orioles
Kansas City Royals,Detroit Tigers,Detroit Tigers
Kansas City Royals,New York Yankees,New York Yankees
Kansas City Royals,Atlanta Braves,Atlanta Braves
Kansas City Royals,Baltimore Orioles,Baltimore Orioles
Kansas City Royals,Boston Red Sox,Boston Red Sox
Kansas City Royals,New York Yankees,New York Yankees
Kansas City Royals,St. Louis Cardinals,St. Louis Cardinals
Kansas City Royals,Minnesota Twins,Minnesota Twins
Kansas City Royals,Arizona Diamondbacks,Arizona Diamondbacks
Kansas City Royals,San Diego Padres,San Diego Padres
Kansas City Royals,Texas Rangers,Texas Rangers
Kansas City Royals,Detroit Tigers,Detroit Tigers
Kansas City Royals,New York Yankees,New York Yankees
Kansas City Royals,San Francisco Giants,San Francisco Giants
Kansas City Royals,New York Mets,New York Mets
Cleveland Guardians,San Diego Padres,Cleveland Guardians
Cleveland Guardians,Chicago Cubs,Cleveland Guardians
Cleveland Guardians,New York Yankees,Cleveland Guardians
Cleveland Guardians,San Francisco Giants,Cleveland Guardians
Cleveland Guardians,Miami Marlins,Cleveland Guardians
Cleveland Guardians,Baltimore Orioles,Cleveland Guardians
Cleveland Guardians,Cincinnati Reds,Cleveland Guardians
Cleveland Guardians,Athletics,Cleveland Guardians
Cleveland Guardians,Toronto Blue Jays,Cleveland Guardians
Cleveland Guardians,San Francisco Giants,Cleveland Guardians
Cleveland Guardians,Los Angeles Dodgers,Cleveland Guardians
Cleveland Guardians,New York Mets,Cleveland Guardians
Cleveland Guardians,San Francisco Giants,Cleveland Guardians
Cleveland Guardians,Texas Rangers,Cleveland Guardians
Cleveland Guardians,Milwaukee Brewers,Cleveland Guardians
Cleveland Guardians,Tampa Bay Rays,Cleveland Guardians
Cleveland Guardians,Detroit Tigers,Cleveland Guardians
Cleveland Guardians,Philadelphia Phillies,Cleveland Guardians
Cleveland Guardians,Toronto Blue Jays,Cleveland Guardians
Cleveland Guardians,San Diego Padres,Cleveland Guardians
Cleveland Guardians,New York Mets,Cleveland Guardians
Cleveland Guardians,Cincinnati Reds,Cleveland Guardians
Cleveland Guardians,St. Louis Cardinals,Cleveland Guardians
Cleveland Guardians,Los Angeles Angels,Cleveland Guardians
Cleveland Guardians,New York Yankees,Cleveland Guardians
Cleveland Guardians,New York Yankees,Cleveland Guardians
Cleveland Guardians,Los Angeles Angels,Los Angeles Angels
Cleveland Guardians,Texas Rangers,Texas Rangers
Cleveland Guardians,Milwaukee Brewers,Milwaukee Brewers
Cleveland Guardians,Pittsburgh Pirates,Pittsburgh Pirates
Cleveland Guardians,Colorado Rockies,Colorado Rockies
Cleveland Guardians,New York Mets,New York Mets
Cleveland Guardians,San Diego Padres,San Diego Padres
Cleveland Guardians,Kansas City Royals,Kansas City Royals
Cleveland Guardians,Milwaukee Brewers,Milwaukee Brewers
Cleveland Guardians,Los Angeles Dodgers,Los Angeles Dodgers
Cleveland Guardians,Arizona Diamondbacks,Arizona Diamondbacks
Cleveland Guardians,Washington Nationals,Washington Nationals
Cleveland Guardians,Chicago White Sox,Chicago White Sox
Cleveland Guardians,Pittsburgh Pirates,Pittsburgh Pirates
Cleveland Guardians,Washington Nationals,Washington Nationals
Cleveland Guardians,San Francisco Giants,San Francisco Giants
Cleveland Guardians,Cincinnati Reds,Cincinnati Reds
Cleveland Guardians,Los Angeles Angels,Los Angeles Angels
Cleveland Guardians,Kansas City Royals,Kansas City Royals
Cleveland Guardians,Chicago Cubs,Chicago Cubs
Cleveland Guardians,Colorado Rockies,Colorado Rockies
Cleveland Guardians,Miami Marlins,Miami Marlins
Chicago White Sox,New York Mets,Chicago White Sox
Chicago White Sox,St. Louis Cardinals,Chicago White Sox
Chicago White Sox,Milwaukee Brewers,Chicago White Sox
Chicago White Sox,Boston Red Sox,Chicago White Sox
Chicago White Sox,Cincinnati Reds,Chicago White Sox
Chicago White Sox,Miami Marlins,Chicago White Sox
Chicago White Sox,New York Yankees,Chicago White Sox
Chicago White Sox,Miami Marlins,Chicago White Sox
Chicago White Sox,Philadelphia Phillies,Chicago White Sox
Chicago White Sox,New York Yankees,Chicago White Sox
Chicago White Sox,Chicago Cubs,Chicago White Sox
Chicago White Sox,Philadelphia Phillies,Chicago White Sox
Chicago White Sox,Pittsburgh Pirates,Chicago White Sox
Chicago White Sox,Pittsburgh Pirates,Chicago White Sox
Chicago White Sox,Colorado Rockies,Chicago White Sox
Chicago White Sox,Baltimore Orioles,Baltimore Orioles
Chicago White Sox,Athletics,Athletics
Chicago White Sox,Kansas City Royals,Kansas City Royals
Chicago White Sox,Washington Nationals,Washington Nationals
Chicago White Sox,Colorado Rockies,Colorado Rockies
Chicago White Sox,Philadelphia Phillies,Philadelphia Phillies
Chicago White Sox,Arizona Diamondbacks,Arizona Diamondbacks
Chicago White Sox,Houston Astros,Houston Astros
Chicago White Sox,Minnesota Twins,Minnesota Twins
Chicago White Sox,Atlanta Braves,Atlanta Braves
Chicago White Sox,New York Mets,New York Mets
Chicago White Sox,Los Angeles Angels,Los Angeles Angels
Chicago White Sox,Milwaukee Brewers,Milwaukee Brewers
Chicago White Sox,Milwaukee Brewers,Milwaukee Brewers
Chicago White Sox,Baltimore Orioles,Baltimore Orioles
Chicago White Sox,Seattle Mariners,Seattle Mariners
Chicago White Sox,Miami Marlins,Miami Marlins
Chicago White Sox,Milwaukee Brewers,Milwaukee Brewers
Chicago White Sox,Arizona Diamondbacks,Arizona Diamondbacks
Chicago White Sox,Miami Marlins,Miami Marlins
Chicago White Sox,Toronto Blue Jays,Toronto Blue Jays
Chicago White Sox,Atlanta Braves,Atlanta Braves
Chicago White Sox,Cleveland Guardians,Cleveland Guardians
Chicago White Sox,Miami Marlins,Miami Marlins
Chicago White Sox,New York Mets,New York Mets
Chicago White Sox,Pittsburgh Pirates,Pittsburgh Pirates
Chicago White Sox,Boston Red Sox,Boston Red Sox
Chicago White Sox,Milwaukee Brewers,Milwaukee Brewers
Chicago White Sox,New York Yankees,New York Yankees
Chicago White Sox,Toronto Blue Jays,Toronto Blue Jays
Chicago White Sox,Seattle Mariners,Seattle Mariners
Chicago White Sox,New York Mets,New York Mets
Chicago White Sox,New York Mets,New York Mets
Chicago White Sox,Texas Rangers,Texas Rangers
Chicago White Sox,Philadelphia Phillies,Philadelphia Phillies
Seattle Mariners,Atlanta Braves,Seattle Mariners
Seattle Mariners,Boston Red Sox,Seattle Mariners
Seattle Mariners,New York Yankees,Seattle Mariners
Seattle Mariners,New York Mets,Seattle Mariners
Seattle Mariners,Detroit Tigers,Seattle Mariners
Seattle Mariners,Washington Nationals,Seattle Mariners
Seattle Mariners,Los Angeles Dodgers,Seattle Mariners
Seattle Mariners,Atlanta Braves,Seattle Mariners
Seattle Mariners,Colorado Rockies,Seattle Mariners
